policy,scenario,avg_quality,avg_cost
A1 K=5 B=0.00126038,coding_heavy,0.9433333333333334,0.0011139845908333334
A1 K=5 B=0.00126038,math_heavy,0.9208333333333334,0.0017790599308333333
A1 K=5 B=0.00126038,knowledge_heavy,0.9383333333333334,0.0008826436133333334
A1 K=8 B=0.000420126,empirical,0.9541666666666666,0.00022871987916666666
A1 K=8 B=0.000420126,balanced,0.9541666666666666,0.00022871987916666666
A1 K=8 B=0.000420126,coding_heavy,0.9625,0.00017557993916666667
A1 K=8 B=0.000420126,math_heavy,0.9325,0.0003567159716666667
A1 K=8 B=0.000420126,knowledge_heavy,0.9666666666666667,0.00015682375166666668
A1 K=8 B=0.000840251,empirical,0.9666666666666667,0.0008223387541666667
A1 K=8 B=0.000840251,balanced,0.9666666666666667,0.0008223387541666667
A1 K=8 B=0.000840251,coding_heavy,0.9758333333333333,0.0007767067641666667
A1 K=8 B=0.000840251,math_heavy,0.9458333333333333,0.0010706375466666667
A1 K=8 B=0.000840251,knowledge_heavy,0.9766666666666667,0.0006035202516666667
A1 K=8 B=0.00126038,empirical,0.9708333333333333,0.00124728455
A1 K=8 B=0.00126038,balanced,0.9708333333333333,0.00124728455
A1 K=8 B=0.00126038,coding_heavy,0.9775,0.0011613004241666667
A1 K=8 B=0.00126038,math_heavy,0.9550000000000001,0.0016782122141666667
A1 K=8 B=0.00126038,knowledge_heavy,0.9783333333333334,0.0008723421200000001
A2 K=2 B=0.000420126 Emax=1,empirical,0.7041666666666667,0.0
A2 K=2 B=0.000420126 Emax=1,balanced,0.7041666666666667,0.0
A2 K=2 B=0.000420126 Emax=1,coding_heavy,0.7227083333333334,0.0
A2 K=2 B=0.000420126 Emax=1,math_heavy,0.7077083333333334,0.0
A2 K=2 B=0.000420126 Emax=1,knowledge_heavy,0.6791666666666667,0.0
A2 K=2 B=0.000420126 Emax=0.75,empirical,0.7041666666666667,0.0
A2 K=2 B=0.000420126 Emax=0.75,balanced,0.7041666666666667,0.0
A2 K=2 B=0.000420126 Emax=0.75,coding_heavy,0.7227083333333334,0.0
A2 K=2 B=0.000420126 Emax=0.75,math_heavy,0.7077083333333334,0.0
A2 K=2 B=0.000420126 Emax=0.75,knowledge_heavy,0.6791666666666667,0.0
A2 K=2 B=0.000420126 Emax=0.5,empirical,0.7041666666666667,0.0
A2 K=2 B=0.000420126 Emax=0.5,balanced,0.7041666666666667,0.0
A2 K=2 B=0.000420126 Emax=0.5,coding_heavy,0.7227083333333334,0.0
A2 K=2 B=0.000420126 Emax=0.5,math_heavy,0.7077083333333334,0.0
A2 K=2 B=0.000420126 Emax=0.5,knowledge_heavy,0.6791666666666667,0.0
A2 K=2 B=0.000840251 Emax=0.75,empirical,0.7447916666666666,0.000508316
A2 K=2 B=0.000840251 Emax=0.75,balanced,0.7447916666666666,0.000508316
A2 K=2 B=0.000840251 Emax=0.75,coding_heavy,0.7733333333333333,0.00046658029166666664
A2 K=2 B=0.000840251 Emax=0.75,math_heavy,0.7264583333333333,0.0006383920916666667
A2 K=2 B=0.000840251 Emax=0.75,knowledge_heavy,0.7354166666666667,0.0004124428
A2 K=2 B=0.000840251 Emax=0.5,empirical,0.7447916666666666,0.000508316
A2 K=2 B=0.000840251 Emax=0.5,balanced,0.7447916666666666,0.000508316
A2 K=2 B=0.000840251 Emax=0.5,coding_heavy,0.7733333333333333,0.00046658029166666664
A2 K=2 B=0.000840251 Emax=0.5,math_heavy,0.7264583333333333,0.0006383920916666667
A2 K=2 B=0.000840251 Emax=0.5,knowledge_heavy,0.7354166666666667,0.0004124428
A2 K=2 B=0.00126038 Emax=0.75,empirical,0.7447916666666666,0.000508316
A2 K=2 B=0.00126038 Emax=0.75,balanced,0.7447916666666666,0.000508316
A2 K=2 B=0.00126038 Emax=0.75,coding_heavy,0.7733333333333333,0.00046658029166666664
A2 K=2 B=0.00126038 Emax=0.75,math_heavy,0.7264583333333333,0.0006383920916666667
A2 K=2 B=0.00126038 Emax=0.75,knowledge_heavy,0.7354166666666667,0.0004124428
A2 K=3 B=0.000420126 Emax=1,empirical,0.8125,0.000168049375
A2 K=3 B=0.000420126 Emax=1,balanced,0.8125,0.000168049375
A2 K=3 B=0.000420126 Emax=1,coding_heavy,0.8356250000000001,0.00018446459166666666
A2 K=3 B=0.000420126 Emax=1,math_heavy,0.790625,0.00015401864166666667
A2 K=3 B=0.000420126 Emax=1,knowledge_heavy,0.81,0.000162897
A2 K=3 B=0.000420126 Emax=0.5,empirical,0.8125,0.000168049375
A2 K=3 B=0.000420126 Emax=0.5,balanced,0.8125,0.000168049375
A2 K=3 B=0.000420126 Emax=0.5,coding_heavy,0.8356250000000001,0.00018446459166666666
A2 K=3 B=0.000420126 Emax=0.5,math_heavy,0.790625,0.00015401864166666667
A2 K=3 B=0.000420126 Emax=0.5,knowledge_heavy,0.81,0.000162897
A2 K=3 B=0.00126038 Emax=1,empirical,0.5697916666666667,0.0
A2 K=3 B=0.00126038 Emax=1,balanced,0.5697916666666667,0.0
A2 K=3 B=0.00126038 Emax=1,coding_heavy,0.5835416666666666,0.0
A2 K=3 B=0.00126038 Emax=1,math_heavy,0.5479166666666667,0.0
A2 K=3 B=0.00126038 Emax=1,knowledge_heavy,0.5754166666666667,0.0
A2 K=3 B=0.00126038 Emax=0.75,empirical,0.5864583333333333,0.0
A2 K=3 B=0.00126038 Emax=0.75,balanced,0.5864583333333333,0.0
A2 K=3 B=0.00126038 Emax=0.75,coding_heavy,0.609375,0.0
A2 K=3 B=0.00126038 Emax=0.75,math_heavy,0.556875,0.0
A2 K=3 B=0.00126038 Emax=0.75,knowledge_heavy,0.5908333333333333,0.0
A2 K=3 B=0.00126038 Emax=0.5,empirical,0.6854166666666667,0.0
A2 K=3 B=0.00126038 Emax=0.5,balanced,0.6854166666666667,0.0
A2 K=3 B=0.00126038 Emax=0.5,coding_heavy,0.6885416666666667,0.0
A2 K=3 B=0.00126038 Emax=0.5,math_heavy,0.6829166666666667,0.0
A2 K=3 B=0.00126038 Emax=0.5,knowledge_heavy,0.6829166666666667,0.0
A2 K=5 B=0.000420126 Emax=1,empirical,0.7625,2.515008333333333e-05
A2 K=5 B=0.000420126 Emax=1,balanced,0.7625,2.515008333333333e-05
A2 K=5 B=0.000420126 Emax=1,coding_heavy,0.786875,4.548538333333333e-05
A2 K=5 B=0.000420126 Emax=1,math_heavy,0.75875,1.2872833333333333e-05
A2 K=5 B=0.000420126 Emax=1,knowledge_heavy,0.7412500000000001,1.8498433333333332e-05
A2 K=5 B=0.000420126 Emax=0.75,empirical,0.884375,0.0004184661666666667
A2 K=5 B=0.000420126 Emax=0.75,balanced,0.884375,0.0004184661666666667
A2 K=5 B=0.000420126 Emax=0.75,coding_heavy,0.91125,0.00031466846666666667
A2 K=5 B=0.000420126 Emax=0.75,math_heavy,0.855,0.0005232779666666667
A2 K=5 B=0.000420126 Emax=0.75,knowledge_heavy,0.8875000000000001,0.0004143199666666667
A2 K=5 B=0.000420126 Emax=0.5,empirical,0.8927083333333333,0.000419450125
A2 K=5 B=0.000420126 Emax=0.5,balanced,0.8927083333333333,0.000419450125
A2 K=5 B=0.000420126 Emax=0.5,coding_heavy,0.9145833333333333,0.0003084521166666667
A2 K=5 B=0.000420126 Emax=0.5,math_heavy,0.8733333333333334,0.0005334656916666667
A2 K=5 B=0.000420126 Emax=0.5,knowledge_heavy,0.8908333333333334,0.00041318075
A2 K=5 B=0.000840251 Emax=1,empirical,0.7625,2.515008333333333e-05
A2 K=5 B=0.000840251 Emax=1,balanced,0.7625,2.515008333333333e-05
A2 K=5 B=0.000840251 Emax=1,coding_heavy,0.786875,4.548538333333333e-05
A2 K=5 B=0.000840251 Emax=1,math_heavy,0.75875,1.2872833333333333e-05
A2 K=5 B=0.000840251 Emax=1,knowledge_heavy,0.7412500000000001,1.8498433333333332e-05
A2 K=5 B=0.000840251 Emax=0.75,empirical,0.7625,2.515008333333333e-05
A2 K=5 B=0.000840251 Emax=0.75,balanced,0.7625,2.515008333333333e-05
A2 K=5 B=0.000840251 Emax=0.75,coding_heavy,0.786875,4.548538333333333e-05
A2 K=5 B=0.000840251 Emax=0.75,math_heavy,0.75875,1.2872833333333333e-05
A2 K=5 B=0.000840251 Emax=0.75,knowledge_heavy,0.7412500000000001,1.8498433333333332e-05
A2 K=5 B=0.000840251 Emax=0.5,empirical,0.8510416666666667,0.00020980691666666666
A2 K=5 B=0.000840251 Emax=0.5,balanced,0.8510416666666667,0.00020980691666666666
A2 K=5 B=0.000840251 Emax=0.5,coding_heavy,0.880625,0.00019926140833333335
A2 K=5 B=0.000840251 Emax=0.5,math_heavy,0.828125,0.00023842130833333334
A2 K=5 B=0.000840251 Emax=0.5,knowledge_heavy,0.8466666666666667,0.00020150666666666667
A2 K=5 B=0.00126038 Emax=1,empirical,0.7979166666666666,2.237070833333333e-05
A2 K=5 B=0.00126038 Emax=1,balanced,0.7979166666666666,2.237070833333333e-05
A2 K=5 B=0.00126038 Emax=1,coding_heavy,0.820625,4.326188333333333e-05
A2 K=5 B=0.00126038 Emax=1,math_heavy,0.779375,1.0649333333333333e-05
A2 K=5 B=0.00126038 Emax=1,knowledge_heavy,0.7891666666666667,1.4051433333333334e-05
A2 K=5 B=0.00126038 Emax=0.75,empirical,0.7979166666666666,2.237070833333333e-05
A2 K=5 B=0.00126038 Emax=0.75,balanced,0.7979166666666666,2.237070833333333e-05
A2 K=5 B=0.00126038 Emax=0.75,coding_heavy,0.820625,4.326188333333333e-05
A2 K=5 B=0.00126038 Emax=0.75,math_heavy,0.779375,1.0649333333333333e-05
A2 K=5 B=0.00126038 Emax=0.75,knowledge_heavy,0.7891666666666667,1.4051433333333334e-05
A2 K=5 B=0.00126038 Emax=0.5,empirical,0.8,2.237070833333333e-05
A2 K=5 B=0.00126038 Emax=0.5,balanced,0.8,2.237070833333333e-05
A2 K=5 B=0.00126038 Emax=0.5,coding_heavy,0.8220833333333334,4.326188333333333e-05
A2 K=5 B=0.00126038 Emax=0.5,math_heavy,0.7808333333333334,1.0649333333333333e-05
A2 K=5 B=0.00126038 Emax=0.5,knowledge_heavy,0.7925000000000001,1.4051433333333334e-05
A3 K=5 B=0.00126038 Emax=0.75,empirical,0.759375,2.237070833333333e-05
A3 K=5 B=0.00126038 Emax=0.75,balanced,0.759375,2.237070833333333e-05
A3 K=5 B=0.00126038 Emax=0.75,coding_heavy,0.784375,4.326188333333333e-05
A3 K=5 B=0.00126038 Emax=0.75,math_heavy,0.75625,1.0649333333333333e-05
A3 K=5 B=0.00126038 Emax=0.75,knowledge_heavy,0.7362500000000001,1.4051433333333334e-05
